"","commit","repo_owner","repo_name","additions","deletions"
"300",2016-03-07 00:05:08,"sebastian-gruchacz","flaksator",411,3
"301",2016-03-09 00:22:21,"sebastian-gruchacz","flaksator",1295,7
"302",2016-03-09 17:29:21,"sebastian-gruchacz","flaksator",191,128
"303",2016-03-10 00:16:44,"sebastian-gruchacz","flaksator",212,102
"304",2016-03-14 08:21:25,"sebastian-gruchacz","flaksator",102,102
"305",2016-03-14 11:24:03,"sebastian-gruchacz","flaksator",245,174
"306",2016-03-14 16:19:45,"sebastian-gruchacz","flaksator",282,60
"307",2016-03-16 00:52:23,"sebastian-gruchacz","flaksator",124,123
"308",2016-02-02 20:50:29,"pablot","hardrider",0,0
"309",2016-03-03 15:16:25,"pablot","hardrider",942,0
"310",2016-03-06 13:53:20,"lukasz-pyrzyk","kronos",330,38
"311",2016-03-06 19:16:37,"lukasz-pyrzyk","kronos",1,3
"312",2016-03-06 19:20:11,"lukasz-pyrzyk","kronos",5,6
"313",2016-03-06 20:24:43,"lukasz-pyrzyk","kronos",251,10
"314",2016-03-06 20:41:14,"lukasz-pyrzyk","kronos",257,19
"315",2016-03-06 21:04:00,"lukasz-pyrzyk","kronos",23,6
"316",2016-03-06 21:31:42,"lukasz-pyrzyk","kronos",62,17
"317",2016-03-06 21:45:42,"lukasz-pyrzyk","kronos",62,17
"318",2016-03-12 10:14:13,"lukasz-pyrzyk","kronos",147,416
"319",2016-03-12 13:11:22,"lukasz-pyrzyk","kronos",6,200
"320",2016-03-12 14:13:11,"lukasz-pyrzyk","kronos",55,6
"321",2016-03-12 14:17:32,"lukasz-pyrzyk","kronos",2,2
"322",2016-03-12 14:17:52,"lukasz-pyrzyk","kronos",3,3
"323",2016-03-12 14:54:28,"lukasz-pyrzyk","kronos",16,8
"324",2016-03-12 14:54:46,"lukasz-pyrzyk","kronos",6,6
"325",2016-03-12 14:55:32,"lukasz-pyrzyk","kronos",5,4
"326",2016-03-12 15:04:44,"lukasz-pyrzyk","kronos",1,0
"327",2016-03-12 16:07:15,"lukasz-pyrzyk","kronos",5,18
"328",2016-03-13 09:23:32,"lukasz-pyrzyk","kronos",38,31
"329",2016-03-13 09:33:50,"lukasz-pyrzyk","kronos",216,626
"330",2016-03-13 11:39:20,"lukasz-pyrzyk","kronos",9,8
"331",2016-03-13 11:39:29,"lukasz-pyrzyk","kronos",3,3
"332",2016-03-13 18:09:08,"lukasz-pyrzyk","kronos",3,3
"333",2016-03-13 18:09:29,"lukasz-pyrzyk","kronos",5,3
"334",2016-03-15 19:55:31,"lukasz-pyrzyk","kronos",41,18
"335",2016-03-15 21:03:16,"lukasz-pyrzyk","kronos",1,1
"336",2016-03-16 21:15:53,"lukasz-pyrzyk","kronos",1,0
"337",2016-03-16 21:42:35,"lukasz-pyrzyk","kronos",1,1
"338",2016-03-18 16:56:13,"lukasz-pyrzyk","kronos",1,1
"339",2016-03-18 17:06:31,"lukasz-pyrzyk","kronos",6,7
"340",2016-03-02 20:23:21,"marcinszyszka","mobilesecondhand",173,143
"341",2016-03-02 20:24:28,"marcinszyszka","mobilesecondhand",10,1
"342",2016-03-02 20:25:14,"marcinszyszka","mobilesecondhand",63,12
"343",2016-03-02 20:28:52,"marcinszyszka","mobilesecondhand",20,74
"344",2016-03-02 21:09:16,"marcinszyszka","mobilesecondhand",227,227
"345",2016-03-06 17:36:41,"marcinszyszka","mobilesecondhand",570,61
"346",2016-03-06 17:37:12,"marcinszyszka","mobilesecondhand",0,0
"347",2016-03-06 17:38:15,"marcinszyszka","mobilesecondhand",3,30
"348",2016-03-08 20:21:17,"marcinszyszka","mobilesecondhand",362,3
"349",2016-03-08 20:24:18,"marcinszyszka","mobilesecondhand",582,13
"350",2016-03-08 20:40:07,"marcinszyszka","mobilesecondhand",2,0
"351",2016-03-08 20:41:00,"marcinszyszka","mobilesecondhand",2,0
"352",2016-03-13 17:56:55,"marcinszyszka","mobilesecondhand",331,257
"353",2016-03-13 17:58:55,"marcinszyszka","mobilesecondhand",863,24
"354",2016-03-13 17:59:37,"marcinszyszka","mobilesecondhand",0,0
"355",2016-03-14 19:50:06,"marcinszyszka","mobilesecondhand",19,0
"356",2016-03-14 19:51:21,"marcinszyszka","mobilesecondhand",14,0
"357",2016-03-14 19:53:15,"marcinszyszka","mobilesecondhand",210,46
"358",2016-03-14 19:54:16,"marcinszyszka","mobilesecondhand",14,1
"359",2016-03-14 19:55:09,"marcinszyszka","mobilesecondhand",68,10
"360",2016-03-15 20:59:29,"marcinszyszka","mobilesecondhand",443,0
"361",2016-03-15 21:00:14,"marcinszyszka","mobilesecondhand",54,0
"362",2016-03-15 21:00:45,"marcinszyszka","mobilesecondhand",31,0
"363",2016-03-15 21:01:33,"marcinszyszka","mobilesecondhand",11,7
"364",2016-03-15 21:02:17,"marcinszyszka","mobilesecondhand",9,0
"365",2016-03-15 21:02:17,"nitwoe","praedium",14,9
"366",2016-03-15 21:04:12,"marcinszyszka","mobilesecondhand",103,47
"367",2016-03-16 20:24:21,"marcinszyszka","mobilesecondhand",0,10
"368",2016-03-16 20:25:48,"marcinszyszka","mobilesecondhand",13,3
"369",2016-03-16 20:27:09,"marcinszyszka","mobilesecondhand",7,2
